,index,name,full_name,score
200,999,129.pdf,train/129.pdf,0.2440984790278728
201,2514,1821.pdf,train/1821.pdf,0.244052321759349
202,1149,1123.pdf,train/1123.pdf,0.24401516735660975
203,1268,1257.pdf,train/1257.pdf,0.24401381976485878
204,1348,1487.pdf,train/1487.pdf,0.2439790948381464
205,1298,1874.pdf,train/1874.pdf,0.2439671271602736
206,1082,2761.pdf,train/2761.pdf,0.24356923704495645
207,879,538.pdf,train/538.pdf,0.2435598787087282
208,1302,2399.pdf,train/2399.pdf,0.24350948142189333
209,92,1608.pdf,train/1608.pdf,0.24344896714522712
210,132,3427.pdf,train/3427.pdf,0.24335992997734918
211,94,1620.pdf,train/1620.pdf,0.24309942924716907
212,2438,235.pdf,train/235.pdf,0.24288548150876502
213,1073,3480.pdf,train/3480.pdf,0.24278755632151805
214,967,2413.pdf,train/2413.pdf,0.24264532072365477
215,2650,2091.pdf,train/2091.pdf,0.2426148922466276
216,2354,2445.pdf,train/2445.pdf,0.2425596518763525
217,978,1867.pdf,train/1867.pdf,0.24246424341356343
218,1561,1070.pdf,train/1070.pdf,0.2423245937465223
219,527,549.pdf,train/549.pdf,0.2422667647963646
220,2257,544.pdf,train/544.pdf,0.24216257450414588
221,2063,1713.pdf,train/1713.pdf,0.2419673354107754
222,1287,3508.pdf,train/3508.pdf,0.24183994611236018
223,1261,2776.pdf,train/2776.pdf,0.24171880082771915
224,351,1948.pdf,train/1948.pdf,0.24169474677572392
225,836,937.pdf,train/937.pdf,0.24168434118899654
226,887,2200.pdf,train/2200.pdf,0.24156277269026888
227,911,2002.pdf,train/2002.pdf,0.24148553986044746
228,2474,2051.pdf,train/2051.pdf,0.24092570732431365
229,785,1642.pdf,train/1642.pdf,0.24080106158771422
230,950,302.pdf,train/302.pdf,0.24076578339204222
231,142,767.pdf,train/767.pdf,0.24073376592571188
232,744,3479.pdf,train/3479.pdf,0.24062158795132238
233,829,670.pdf,train/670.pdf,0.24057237677829676
234,1669,3089.pdf,train/3089.pdf,0.24050947910911086
235,2429,1004.pdf,train/1004.pdf,0.24047085602345677
236,1161,312.pdf,train/312.pdf,0.24026952486028166
237,1857,2812.pdf,train/2812.pdf,0.2401513110797743
238,2526,3039.pdf,train/3039.pdf,0.2401100305373995
239,2182,2485.pdf,train/2485.pdf,0.24007343553715083
240,1567,1702.pdf,train/1702.pdf,0.24000689561412872
